Region,Country/ Territory,Data collection,Year,Received
Africa,Equatorial Guinea,UN-CTS,2022,0
Africa,Equatorial Guinea,UN-IAFQ,2019,0
Africa,Equatorial Guinea,UN-IAFQ,2020,0
Africa,Equatorial Guinea,UN-IAFQ,2021,0
Africa,Equatorial Guinea,UN-IAFQ,2022,0
Africa,Eritrea,ARQ,2019,0
Africa,Eritrea,ARQ,2020,0
Africa,Eritrea,ARQ,2021,0
Africa,Eritrea,ARQ,2022,0
Africa,Eritrea,GLOTIP,2019,0
Africa,Eritrea,GLOTIP,2020,0
Africa,Eritrea,GLOTIP,2021,0
Africa,Eritrea,GLOTIP,2022,0
Africa,Eritrea,IDS,2019,0
Africa,Eritrea,IDS,2020,0
Africa,Eritrea,IDS,2021,0
Africa,Eritrea,IDS,2022,0
Africa,Eritrea,UN-CTS,2019,0
Africa,Eritrea,UN-CTS,2020,0
Africa,Eritrea,UN-CTS,2021,0
Africa,Eritrea,UN-CTS,2022,0
Africa,Eritrea,UN-IAFQ,2019,0
Africa,Eritrea,UN-IAFQ,2020,0
Africa,Eritrea,UN-IAFQ,2021,0
Africa,Eritrea,UN-IAFQ,2022,0
Africa,Eswatini,ARQ,2019,0
Africa,Eswatini,ARQ,2020,1
Africa,Eswatini,ARQ,2021,0
Africa,Eswatini,ARQ,2022,0
Africa,Eswatini,GLOTIP,2019,0
Africa,Eswatini,GLOTIP,2020,0
Africa,Eswatini,GLOTIP,2021,0
Africa,Eswatini,GLOTIP,2022,1
Africa,Eswatini,IDS,2019,0
Africa,Eswatini,IDS,2020,0
Africa,Eswatini,IDS,2021,0
Africa,Eswatini,IDS,2022,0
Africa,Eswatini,UN-CTS,2019,0
Africa,Eswatini,UN-CTS,2020,0
Africa,Eswatini,UN-CTS,2021,0
Africa,Eswatini,UN-CTS,2022,1
Africa,Eswatini,UN-IAFQ,2019,1
Africa,Eswatini,UN-IAFQ,2020,0
Africa,Eswatini,UN-IAFQ,2021,0
Africa,Eswatini,UN-IAFQ,2022,0
Africa,Ethiopia,ARQ,2019,0
Africa,Ethiopia,ARQ,2020,0
Africa,Ethiopia,ARQ,2021,0
Africa,Ethiopia,ARQ,2022,0
Africa,Ethiopia,GLOTIP,2019,0
