Continent,Region,Country,CRIMINALITY,CRIMINAL MARKETS,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,CRIMINAL ACTORS,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,RESILIENCE,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,sids_category
Africa,Central Africa,Equatorial Guinea,4.11,3.85,4.5,2.0,5.0,8.5,5.0,6.0,1.5,1.5,3.5,1.0,4.38,1.0,2.5,9.0,5.0,2.17,1.5,1.0,2.0,5.5,2.0,2.0,3.5,2.0,1.5,1.5,1.5,2.0,non_sids
Africa,East Africa,Eritrea,4.34,4.05,9.0,9.5,6.5,1.5,2.0,2.0,3.0,1.5,4.0,1.5,4.63,1.0,5.5,9.5,2.5,2.33,1.0,1.0,2.0,2.5,2.0,3.0,7.0,3.0,2.5,1.0,2.0,1.0,non_sids
Europe,Northern Europe,Estonia,3.60,3.45,4.5,3.0,3.0,1.5,1.5,3.0,3.0,3.5,5.0,6.5,3.75,3.0,5.0,2.0,5.0,7.83,8.0,8.0,8.5,8.0,8.0,7.0,8.0,7.5,8.0,7.5,8.0,7.5,non_sids
Africa,Southern Africa,Eswatini,3.63,3.25,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,5.5,3.0,4.00,1.5,5.5,5.0,4.0,3.25,3.0,2.5,5.0,4.0,2.5,3.0,3.5,4.0,2.0,3.0,4.0,2.5,non_sids
Africa,East Africa,Ethiopia,4.79,4.95,6.0,6.5,7.0,3.5,5.5,5.5,3.0,4.0,5.5,3.0,4.63,2.0,6.5,4.0,6.0,5.38,5.0,5.0,6.0,6.0,5.0,4.0,6.0,7.0,6.0,4.5,5.0,5.0,non_sids
Oceania,Melanesia,Fiji,3.90,3.80,5.0,3.5,2.0,3.0,4.5,2.0,2.0,4.5,5.0,6.5,4.00,1.0,6.5,3.0,5.5,5.25,6.0,5.5,5.0,5.5,4.5,5.0,4.5,6.0,6.0,4.0,5.0,6.0,sids
Europe,Northern Europe,Finland,2.71,2.80,3.0,2.5,2.5,1.0,1.5,2.0,3.5,4.0,3.5,4.5,2.63,3.0,3.0,1.5,3.0,8.42,9.0,8.5,9.0,8.0,8.0,8.0,9.0,8.5,9.0,8.0,8.0,8.0,non_sids
Europe,Western Europe,France,5.66,5.70,6.0,6.5,6.0,4.0,5.5,4.5,6.0,6.5,6.5,5.5,5.63,6.0,6.5,3.0,7.0,6.83,6.0,7.0,8.5,7.5,6.5,7.0,5.0,8.0,8.0,5.0,6.5,7.0,non_sids
Africa,Central Africa,Gabon,4.90,4.80,5.5,5.5,4.5,8.5,7.0,3.0,2.5,2.5,4.0,5.0,5.00,1.0,5.0,8.0,6.0,3.17,2.0,2.0,5.0,4.0,3.0,4.5,4.5,2.0,2.0,3.0,3.5,2.5,non_sids
Africa,West Africa,Gambia,4.83,5.15,7.0,5.0,2.5,7.0,3.5,4.5,4.5,6.5,7.0,4.0,4.50,1.0,6.5,6.5,4.0,5.00,5.0,5.0,4.5,5.0,5.0,5.5,6.5,5.5,5.5,2.5,3.5,6.5,non_sids
Asia,Central Asia and the Caucasus,Georgia,2.96,3.05,3.5,2.0,2.0,3.5,3.5,3.0,3.5,2.0,3.5,4.0,2.88,2.5,3.0,3.0,3.0,5.71,5.0,6.5,7.0,6.5,3.5,6.5,5.0,5.0,5.0,7.0,5.5,6.0,non_sids
Europe,Western Europe,Germany,4.90,4.80,5.5,7.0,6.0,1.5,3.5,2.5,4.5,6.5,5.0,6.0,5.00,5.0,6.5,2.0,6.5,7.67,7.0,7.5,8.0,8.0,7.5,7.5,9.0,6.5,7.0,8.0,8.0,8.0,non_sids
Africa,West Africa,Ghana,6.01,6.15,6.5,5.0,5.0,6.5,6.0,7.5,6.0,6.5,5.5,7.0,5.88,3.0,6.5,7.5,6.5,5.38,5.5,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.0,3.5,4.0,7.0,non_sids
Europe,Southern Europe,Greece,4.93,4.10,5.5,7.5,3.5,2.0,2.5,3.0,6.0,3.5,5.0,2.5,5.75,3.0,6.5,7.5,6.0,5.25,5.5,5.0,6.5,6.0,4.5,5.0,5.5,5.5,5.5,4.0,5.0,5.0,non_sids
Americas,Caribbean,Grenada,3.05,2.85,2.0,1.0,3.0,1.0,2.5,3.0,1.0,6.5,7.0,1.5,3.25,4.0,2.0,3.0,4.0,4.67,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,3.0,4.0,3.0,sids
Americas,Central America,Guatemala,6.48,5.95,6.5,7.0,7.0,4.0,4.0,2.5,7.5,8.5,6.5,6.0,7.00,7.5,6.0,7.0,7.5,4.42,3.5,4.0,5.5,5.5,4.0,5.0,3.5,5.0,4.0,4.0,4.0,5.0,non_sids
Africa,West Africa,Guinea,5.20,5.15,7.0,3.0,6.0,4.5,6.0,6.5,2.5,7.0,4.5,4.5,5.25,1.0,5.0,8.0,7.0,2.83,2.0,3.0,4.0,3.5,3.0,3.5,3.0,3.0,3.0,1.5,1.5,3.0,non_sids
Africa,West Africa,Guinea-Bissau,5.45,4.90,5.5,2.5,5.5,8.5,5.5,1.0,5.0,8.0,5.5,2.0,6.00,1.0,8.0,8.5,6.5,2.42,2.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,1.5,1.0,1.5,3.0,sids
Americas,South America,Guyana,5.10,4.70,5.5,4.0,5.0,4.5,3.5,8.5,2.5,8.0,3.0,2.5,5.50,3.0,5.0,8.0,6.0,4.29,5.0,3.0,5.0,3.0,4.0,2.5,5.0,4.0,5.0,5.0,5.0,5.0,sids
